Producer produced: 870107222, buffer position: 0 
Producer produced: 1467451594, buffer position: 1 
Producer produced: 1410744786, buffer position: 2 
Producer produced: 579839224, buffer position: 3 
Producer produced: 2059718197, buffer position: 4 
Producer produced: 1301330426, buffer position: 0 
Producer produced: 1619881708, buffer position: 1 
Producer produced: 545788189, buffer position: 2 
Producer produced: 1364366153, buffer position: 3 
Producer produced: 531453612, buffer position: 4 
Producer produced: 1134289147, buffer position: 0 
Producer produced: 28234372, buffer position: 1 
Producer produced: 1301451111, buffer position: 2 
Producer produced: 1932452183, buffer position: 3 
Producer produced: 389824775, buffer position: 4 
Producer produced: 815068691, buffer position: 0 
Producer produced: 1476992352, buffer position: 1 
Producer produced: 171289634, buffer position: 2 
Producer produced: 1984636487, buffer position: 3 
Producer produced: 318285484, buffer position: 4 
Producer produced: 2052459285, buffer position: 0 
Producer produced: 251701824, buffer position: 1 
Producer produced: 1554893474, buffer position: 2 
Producer produced: 270727744, buffer position: 3 
\n\n\n
Consumer consumed: 0, buffer position: 0 
Consumer consumed: 0, buffer position: 1 
Consumer consumed: 0, buffer position: 2 
Consumer consumed: 0, buffer position: 3 
Consumer consumed: 0, buffer position: 4 
Consumer consumed: -1, buffer position: 0 
Consumer consumed: -1, buffer position: 1 
Consumer consumed: -1, buffer position: 2 
Consumer consumed: -1, buffer position: 3 
Consumer consumed: -1, buffer position: 4 
Consumer consumed: -1, buffer position: 0 
Consumer consumed: -1, buffer position: 1 
Consumer consumed: -1, buffer position: 2 
Consumer consumed: -1, buffer position: 3 
Consumer consumed: -1, buffer position: 4 
Consumer consumed: -1, buffer position: 0 
Consumer consumed: -1, buffer position: 1 
Consumer consumed: -1, buffer position: 2 
Consumer consumed: -1, buffer position: 3 
Consumer consumed: -1, buffer position: 4 
Consumer consumed: -1, buffer position: 0 
